movie,title,genres,year,Rating,RottenTomato
927,"Women, The",Comedy,1939,7,93
936,Ninotchka,Comedy|Romance,1939,3,54
4178,Of Mice and Men,Drama,1939,4,91
6412,Destry Rides Again,Comedy|Western,1939,6,65
6513,Made for Each Other,Comedy|Drama|Romance,1939,3,70
7061,Dark Victory,Drama|Romance,1939,5,65
7072,Stagecoach,Action|Drama|Romance|Western,1939,4,69
7311,"Goodbye, Mr. Chips",Drama|Romance,1939,3,80
7840,Gunga Din,Adventure|Comedy|War,1939,9,66
898,"Philadelphia Story, The",Comedy|Drama|Romance,1939,3,77
928,Rebecca,Drama|Mystery|Romance|Thriller,1939,3,78
929,Foreign Correspondent,Drama|Film-Noir|Mystery|Thriller,1939,6,72
951,His Girl Friday,Comedy|Romance,1939,6,76
1281,"Great Dictator, The",Comedy|Drama|War,1939,2,54
1282,Fantasia,Animation|Children|Fantasy|Musical,1939,8,70
2637,"Mummy's Hand, The",Horror,1939,1,81
3097,"Shop Around the Corner, The",Comedy|Drama|Romance,1939,5,93
3122,Santa Fe Trail,Drama|Romance|Western,1939,4,56
3870,Our Town,Drama,1939,6,86
5232,Road to Singapore,Comedy|Musical,1939,3,57
7579,Pride and Prejudice,Comedy|Drama|Romance,1939,1,87
8522,My Little Chickadee,Comedy|Western,1939,8,80
25852,Gaslight,Mystery|Thriller,1939,7,86
